time_sec,timestamp,origin,destination,gtu_type,demand_veh_h
7500,2025-10-01 02:05:00,R7_1,N5_3,TRUCK,36.0
7800,2025-10-01 02:10:00,N1_1,N5_3,CAR,108.0
7800,2025-10-01 02:10:00,N1_1,N5_3,TRUCK,60.0
7800,2025-10-01 02:10:00,N1_1,R6_8,CAR,0.0
7800,2025-10-01 02:10:00,N1_1,R6_8,TRUCK,0.0
7800,2025-10-01 02:10:00,R7_1,N5_3,CAR,12.0
7800,2025-10-01 02:10:00,R7_1,N5_3,TRUCK,12.0
8100,2025-10-01 02:15:00,N1_1,N5_3,CAR,156.0
8100,2025-10-01 02:15:00,N1_1,N5_3,TRUCK,60.0
8100,2025-10-01 02:15:00,N1_1,R6_8,CAR,12.0
8100,2025-10-01 02:15:00,N1_1,R6_8,TRUCK,0.0
8100,2025-10-01 02:15:00,R7_1,N5_3,CAR,0.0
8100,2025-10-01 02:15:00,R7_1,N5_3,TRUCK,12.0
8400,2025-10-01 02:20:00,N1_1,N5_3,CAR,24.0
8400,2025-10-01 02:20:00,N1_1,N5_3,TRUCK,48.0
8400,2025-10-01 02:20:00,N1_1,R6_8,CAR,0.0
8400,2025-10-01 02:20:00,N1_1,R6_8,TRUCK,0.0
8400,2025-10-01 02:20:00,R7_1,N5_3,CAR,24.0
8400,2025-10-01 02:20:00,R7_1,N5_3,TRUCK,12.0
8700,2025-10-01 02:25:00,N1_1,N5_3,CAR,72.0
8700,2025-10-01 02:25:00,N1_1,N5_3,TRUCK,36.0
8700,2025-10-01 02:25:00,N1_1,R6_8,CAR,12.0
8700,2025-10-01 02:25:00,N1_1,R6_8,TRUCK,0.0
8700,2025-10-01 02:25:00,R7_1,N5_3,CAR,36.0
8700,2025-10-01 02:25:00,R7_1,N5_3,TRUCK,0.0
9000,2025-10-01 02:30:00,N1_1,N5_3,CAR,48.0
9000,2025-10-01 02:30:00,N1_1,N5_3,TRUCK,24.0
9000,2025-10-01 02:30:00,N1_1,R6_8,CAR,0.0
9000,2025-10-01 02:30:00,N1_1,R6_8,TRUCK,0.0
9000,2025-10-01 02:30:00,R7_1,N5_3,CAR,36.0
9000,2025-10-01 02:30:00,R7_1,N5_3,TRUCK,0.0
9300,2025-10-01 02:35:00,N1_1,N5_3,CAR,120.0
9300,2025-10-01 02:35:00,N1_1,N5_3,TRUCK,72.0
9300,2025-10-01 02:35:00,N1_1,R6_8,CAR,0.0
9300,2025-10-01 02:35:00,N1_1,R6_8,TRUCK,0.0
9300,2025-10-01 02:35:00,R7_1,N5_3,CAR,0.0
9300,2025-10-01 02:35:00,R7_1,N5_3,TRUCK,24.0
9600,2025-10-01 02:40:00,N1_1,N5_3,CAR,48.0
9600,2025-10-01 02:40:00,N1_1,N5_3,TRUCK,72.0
9600,2025-10-01 02:40:00,N1_1,R6_8,CAR,12.0
9600,2025-10-01 02:40:00,N1_1,R6_8,TRUCK,0.0
9600,2025-10-01 02:40:00,R7_1,N5_3,CAR,0.0
9600,2025-10-01 02:40:00,R7_1,N5_3,TRUCK,0.0
9900,2025-10-01 02:45:00,N1_1,N5_3,CAR,24.0
9900,2025-10-01 02:45:00,N1_1,N5_3,TRUCK,0.0
9900,2025-10-01 02:45:00,N1_1,R6_8,CAR,0.0
9900,2025-10-01 02:45:00,N1_1,R6_8,TRUCK,0.0
9900,2025-10-01 02:45:00,R7_1,N5_3,CAR,0.0
9900,2025-10-01 02:45:00,R7_1,N5_3,TRUCK,24.0
10200,2025-10-01 02:50:00,N1_1,N5_3,CAR,120.0
10200,2025-10-01 02:50:00,N1_1,N5_3,TRUCK,120.0
10200,2025-10-01 02:50:00,N1_1,R6_8,CAR,12.0
10200,2025-10-01 02:50:00,N1_1,R6_8,TRUCK,0.0
10200,2025-10-01 02:50:00,R7_1,N5_3,CAR,36.0
10200,2025-10-01 02:50:00,R7_1,N5_3,TRUCK,12.0
10500,2025-10-01 02:55:00,N1_1,N5_3,CAR,48.0
10500,2025-10-01 02:55:00,N1_1,N5_3,TRUCK,48.0
10500,2025-10-01 02:55:00,N1_1,R6_8,CAR,12.0
10500,2025-10-01 02:55:00,N1_1,R6_8,TRUCK,0.0
10500,2025-10-01 02:55:00,R7_1,N5_3,CAR,12.0
10500,2025-10-01 02:55:00,R7_1,N5_3,TRUCK,24.0
10800,2025-10-01 03:00:00,N1_1,N5_3,CAR,36.0
10800,2025-10-01 03:00:00,N1_1,N5_3,TRUCK,72.0
10800,2025-10-01 03:00:00,N1_1,R6_8,CAR,12.0
10800,2025-10-01 03:00:00,N1_1,R6_8,TRUCK,0.0
10800,2025-10-01 03:00:00,R7_1,N5_3,CAR,0.0
10800,2025-10-01 03:00:00,R7_1,N5_3,TRUCK,0.0
11100,2025-10-01 03:05:00,N1_1,N5_3,CAR,84.0
11100,2025-10-01 03:05:00,N1_1,N5_3,TRUCK,60.0
11100,2025-10-01 03:05:00,N1_1,R6_8,CAR,0.0
11100,2025-10-01 03:05:00,N1_1,R6_8,TRUCK,0.0
11100,2025-10-01 03:05:00,R7_1,N5_3,CAR,24.0
11100,2025-10-01 03:05:00,R7_1,N5_3,TRUCK,12.0
11400,2025-10-01 03:10:00,N1_1,N5_3,CAR,72.0
11400,2025-10-01 03:10:00,N1_1,N5_3,TRUCK,108.0
11400,2025-10-01 03:10:00,N1_1,R6_8,CAR,0.0
11400,2025-10-01 03:10:00,N1_1,R6_8,TRUCK,0.0
11400,2025-10-01 03:10:00,R7_1,N5_3,CAR,24.0
11400,2025-10-01 03:10:00,R7_1,N5_3,TRUCK,12.0
11700,2025-10-01 03:15:00,N1_1,N5_3,CAR,108.0
11700,2025-10-01 03:15:00,N1_1,N5_3,TRUCK,96.0
11700,2025-10-01 03:15:00,N1_1,R6_8,CAR,12.0
11700,2025-10-01 03:15:00,N1_1,R6_8,TRUCK,0.0
11700,2025-10-01 03:15:00,R7_1,N5_3,CAR,12.0
11700,2025-10-01 03:15:00,R7_1,N5_3,TRUCK,12.0
12000,2025-10-01 03:20:00,N1_1,N5_3,CAR,60.0
12000,2025-10-01 03:20:00,N1_1,N5_3,TRUCK,96.0
12000,2025-10-01 03:20:00,N1_1,R6_8,CAR,12.0
12000,2025-10-01 03:20:00,N1_1,R6_8,TRUCK,12.0
12000,2025-10-01 03:20:00,R7_1,N5_3,CAR,48.0
12000,2025-10-01 03:20:00,R7_1,N5_3,TRUCK,12.0
12300,2025-10-01 03:25:00,N1_1,N5_3,CAR,72.0
12300,2025-10-01 03:25:00,N1_1,N5_3,TRUCK,72.0
12300,2025-10-01 03:25:00,N1_1,R6_8,CAR,0.0
12300,2025-10-01 03:25:00,N1_1,R6_8,TRUCK,0.0
12300,2025-10-01 03:25:00,R7_1,N5_3,CAR,24.0
12300,2025-10-01 03:25:00,R7_1,N5_3,TRUCK,0.0
12600,2025-10-01 03:30:00,N1_1,N5_3,CAR,48.0
12600,2025-10-01 03:30:00,N1_1,N5_3,TRUCK,132.0
12600,2025-10-01 03:30:00,N1_1,R6_8,CAR,0.0
12600,2025-10-01 03:30:00,N1_1,R6_8,TRUCK,0.0
12600,2025-10-01 03:30:00,R7_1,N5_3,CAR,12.0
12600,2025-10-01 03:30:00,R7_1,N5_3,TRUCK,0.0
12900,2025-10-01 03:35:00,N1_1,N5_3,CAR,60.0
12900,2025-10-01 03:35:00,N1_1,N5_3,TRUCK,96.0
12900,2025-10-01 03:35:00,N1_1,R6_8,CAR,36.0
12900,2025-10-01 03:35:00,N1_1,R6_8,TRUCK,0.0
12900,2025-10-01 03:35:00,R7_1,N5_3,CAR,36.0
12900,2025-10-01 03:35:00,R7_1,N5_3,TRUCK,12.0
13200,2025-10-01 03:40:00,N1_1,N5_3,CAR,60.0
13200,2025-10-01 03:40:00,N1_1,N5_3,TRUCK,60.0
13200,2025-10-01 03:40:00,N1_1,R6_8,CAR,0.0
13200,2025-10-01 03:40:00,N1_1,R6_8,TRUCK,0.0
13200,2025-10-01 03:40:00,R7_1,N5_3,CAR,12.0
13200,2025-10-01 03:40:00,R7_1,N5_3,TRUCK,0.0
13500,2025-10-01 03:45:00,N1_1,N5_3,CAR,24.0
13500,2025-10-01 03:45:00,N1_1,N5_3,TRUCK,84.0
13500,2025-10-01 03:45:00,N1_1,R6_8,CAR,0.0
13500,2025-10-01 03:45:00,N1_1,R6_8,TRUCK,0.0
13500,2025-10-01 03:45:00,R7_1,N5_3,CAR,36.0
13500,2025-10-01 03:45:00,R7_1,N5_3,TRUCK,24.0
13800,2025-10-01 03:50:00,N1_1,N5_3,CAR,120.0
13800,2025-10-01 03:50:00,N1_1,N5_3,TRUCK,156.0
13800,2025-10-01 03:50:00,N1_1,R6_8,CAR,0.0
13800,2025-10-01 03:50:00,N1_1,R6_8,TRUCK,0.0
13800,2025-10-01 03:50:00,R7_1,N5_3,CAR,36.0
13800,2025-10-01 03:50:00,R7_1,N5_3,TRUCK,0.0
14100,2025-10-01 03:55:00,N1_1,N5_3,CAR,60.0
14100,2025-10-01 03:55:00,N1_1,N5_3,TRUCK,72.0
14100,2025-10-01 03:55:00,N1_1,R6_8,CAR,0.0
14100,2025-10-01 03:55:00,N1_1,R6_8,TRUCK,0.0
14100,2025-10-01 03:55:00,R7_1,N5_3,CAR,24.0
14100,2025-10-01 03:55:00,R7_1,N5_3,TRUCK,24.0
14400,2025-10-01 04:00:00,N1_1,N5_3,CAR,60.0
14400,2025-10-01 04:00:00,N1_1,N5_3,TRUCK,108.0
